title,actor,actress
Behind the Mask: The Rise of Leslie Vernon,"Baesel, Nathan","Goethals, Angela"
Being Julia,"Gambon, Michael","Bening, Annette"
Beowulf,"Hopkins, Anthony","Wright, Robin"
Bernie,"Black, Jack","MacLaine, Shirley"
Best in Show,"Brazeau, Jay","Posey, Parker"
Beverly Hills Chihuahua,"Cardona, Manolo","Perabo, Piper"
Bewitched,"Ferrell, Will","Kidman, Nicole"
Beyond Borders,"Owen, Clive","Jolie, Angelina"
Beyond the Sea,"Spacey, Kevin","Bosworth, Kate"
Big Eyes,"Waltz, Christoph","Adams, Amy"
Big Momma's House,"Lawrence, Martin","Long, Nia"
Big Momma's House 2,"Lawrence, Martin","Long, Nia"
Big Trouble,"Allen, Tim","Russo, Rene"
Bikur Ha-Tizmoret,"Gabai, Sasson","Elkabetz, Ronit"
Bill,"Eckhart, Aaron","Alba, Jessica"
Birdman: Or (The Unexpected Virtue of Ignorance),"Keaton, Michael","Stone, Emma"
Birthday Girl,"Chaplin, Ben","Kidman, Nicole"
Black Dynamite,"Babatundé, Obba","Applegate, Phyllis"
Black Knight,"Lawrence, Martin","Thomason, Marsha"
Black Snake Moan,"Jackson, Samuel L.","Ricci, Christina"
Blended,"Sandler, Adam","Barrymore, Drew"
Bless the Child,"Smits, Jimmy","Basinger, Kim"
Blood and Chocolate,"Dancy, Hugh","Bruckner, Agnes"
BloodRayne,"Madsen, Michael","Loken, Kristanna"
Blow,"Depp, Johnny","Cruz, Penélope"
Blue Crush,"Davis, Matthew","Bosworth, Kate"
Blue Valentine,"Gosling, Ryan","Williams, Michelle"
Bobby,"Belafonte, Harry","Bryant, Joy"
Boogeyman,"Watson, Barry","Deschanel, Emily"
Bounce,"Affleck, Ben","Paltrow, Gwyneth"
Boyhood,"Coltrane, Ellar","Arquette, Patricia"
Brave,"Connolly, Billy","Macdonald, Kelly"
Breaking and Entering,"Law, Jude","Wright, Robin"
Brick,"Gordon-Levitt, Joseph","Zehetner, Nora"
Bride & Prejudice,"Henderson, Martin","Rai Bachchan, Aishwarya"
Bridesmaids,"Crews, Terry","Wiig, Kristen"
Bringing Down the House,"Martin, Steve","Latifah, Queen"
Broken Flowers,"Murray, Bill","Delpy, Julie"
Bubble Boy,"Gyllenhaal, Jake","Kurtz, Swoosie"
Bug,"Shannon, Michael","Judd, Ashley"
Bully,"Renfro, Brad","Phillips, Bijou"
Burn After Reading,"Clooney, George","McDormand, Frances"
Butter,"Burrell, Ty","Garner, Jennifer"
Butterfly on a Wheel,"Brosnan, Pierce","Bello, Maria"
Cabin Fever,"Strong, Rider","Ladd, Jordan"
Captain America: The First Avenger,"Evans, Chris","Atwell, Hayley"
Captain Corelli's Mandolin,"Hurt, John","Cruz, Penélope"
Captain Phillips,"Hanks, Tom","Keener, Catherine"
Captivity,"Gillies, Daniel","Cuthbert, Elisha"
Casanova,"Ledger, Heath","Miller, Sienna"
Casino Royale,"Craig, Daniel","Green, Eva"
Catch and Release,"Olyphant, Timothy","Garner, Jennifer"
Cats & Dogs,"Goldblum, Jeff","Perkins, Elizabeth"
Catwoman,"Bratt, Benjamin","Berry, Halle"
Cecil B. DeMented,"Dorff, Stephen","Griffith, Melanie"
Celeste & Jesse Forever,"Samberg, Andy","Jones, Rashida"
Chaos Theory,"Reynolds, Ryan","Mortimer, Emily"
Charlie Wilson's War,"Hanks, Tom","Adams, Amy"
Charlotte's Web,"Buscemi, Steve","Roberts, Julia"
Chasing Liberty,"Sands, Stark","Moore, Mandy"
Che: Part One,"Del Toro, Benicio","Ormond, Julia"
Cheap Thrills,"Healy, Pat","Paxton, Sara"
Cheaper by the Dozen,"Martin, Steve","Hunt, Bonnie"
Chicken Run,"Daniels, Phil","Ferguson, Lynn"
