title,actor,actress
Intruders,"Owen, Clive","van Houten, Carice"
Iris,"Bonneville, Hugh","Winslet, Kate"
Iron Man 2,"Downey Jr., Robert","Paltrow, Gwyneth"
Iron Man 3,"Downey Jr., Robert","Paltrow, Gwyneth"
It's a Boy Girl Thing,"Zegers, Kevin","Armstrong, Samaire"
It's Complicated,"Martin, Steve","Streep, Meryl"
Jack Reacher,"Cruise, Tom","Pike, Rosamund"
Jack Ryan: Shadow Recruit,"Pine, Chris","Knightley, Keira"
Jack the Giant Slayer,"Hoult, Nicholas","Tomlinson, Eleanor"
Jane Eyre,"Bell, Jamie","Wasikowska, Mia"
Jeepers Creepers,"Long, Justin","Philips, Gina"
Jimmy Neutron: Boy Genius,"DeCarlo, Mark","Cavanagh, Megan"
Jodorowsky's Dune,"Jodorowsky, Alejandro","Lear, Amanda"
Joe Dirt,"Spade, David","Daniel, Brittany"
John Carter,"Kitsch, Taylor","Collins, Lynn"
John Tucker Must Die,"Metcalfe, Jesse","Snow, Brittany"
Johnny English,"Atkinson, Rowan","de Vasconcelos, Tasha"
Juno,"Cera, Michael","Page, Ellen"
Jupiter Ascending,"Tatum, Channing","Kunis, Mila"
Jurassic World,"Pratt, Chris","Howard, Bryce Dallas"
Just Before I Go,"Scott, Seann William","Thirlby, Olivia"
Just Friends,"Reynolds, Ryan","Smart, Amy"
Just Go with It,"Sandler, Adam","Aniston, Jennifer"
Just Like Heaven,"Ruffalo, Mark","Witherspoon, Reese"
Just Married,"Kutcher, Ashton","Murphy, Brittany"
Just My Luck,"Pine, Chris","Lohan, Lindsay"
Just Visiting,"Reno, Jean","Applegate, Christina"
Kate & Leopold,"Jackman, Hugh","Ryan, Meg"
Keith,"McCartney, Jesse","Harnois, Elisabeth"
Killers,"Kutcher, Ashton","Heigl, Katherine"
Killing Me Softly,"Fiennes, Joseph","Graham, Heather"
Killshot,"Jane, Thomas","Lane, Diane"
King Kong,"Black, Jack","Watts, Naomi"
King of California,"Douglas, Michael","Wood, Evan Rachel"
Kinsey,"Neeson, Liam","Linney, Laura"
Knight and Day,"Cruise, Tom","Diaz, Cameron"
Knocked Up,"Rogen, Seth","Heigl, Katherine"
Labor Day,"Brolin, Josh","Winslet, Kate"
Lady in the Water,"Giamatti, Paul","Howard, Bryce Dallas"
Land of the Lost,"Ferrell, Will","Friel, Anna"
Lara Croft Tomb Raider: The Cradle of Life,"Butler, Gerard","Jolie, Angelina"
Lara Croft: Tomb Raider,"Voight, Jon","Jolie, Angelina"
Lars and the Real Girl,"Gosling, Ryan","Mortimer, Emily"
Last Chance Harvey,"Hoffman, Dustin","Thompson, Emma"
Last Holiday,LL Cool J,"Latifah, Queen"
Last Night,"Worthington, Sam","Knightley, Keira"
Laurel Canyon,"Bale, Christian","McDormand, Frances"
Le scaphandre et le papillon,"Amalric, Mathieu","Seigner, Emmanuelle"
Leap Year,"Goode, Matthew","Adams, Amy"
Leaves of Grass,"Norton, Edward","DeVito, Lucy"
Legally Blonde,"Wilson, Luke","Witherspoon, Reese"
Les aventures extraordinaires d'Adèle Blanc-Sec,"Amalric, Mathieu","Bourgoin, Louise"
Liberal Arts,"Radnor, Josh","Olsen, Elizabeth"
License to Wed,"Williams, Robin","Moore, Mandy"
Life After Beth,"DeHaan, Dane","Plaza, Aubrey"
Life as a House,"Kline, Kevin","Scott Thomas, Kristin"
Life as We Know It,"Duhamel, Josh","Heigl, Katherine"
Life of Crime,"Bey, Yasiin","Aniston, Jennifer"
Life or Something Like It,"Burns, Edward","Jolie, Angelina"
Like Crazy,"Yelchin, Anton","Jones, Felicity"
Lincoln,"Day-Lewis, Daniel","Field, Sally"
Lions for Lambs,"Redford, Robert","Streep, Meryl"
Little Nicky,"Sandler, Adam","Arquette, Patricia"
Lo imposible,"McGregor, Ewan","Watts, Naomi"
Locke,"Hardy, Tom","Colman, Olivia"
London,"Evans, Chris","Biel, Jessica"
London Boulevard,"Farrell, Colin","Knightley, Keira"
Looney Tunes: Back in Action,"Fraser, Brendan","Elfman, Jenna"
Lord of War,"Cage, Nicolas","Moynahan, Bridget"
Loser,"Biggs, Jason","Suvari, Mena"
Lost in Translation,"Murray, Bill","Johansson, Scarlett"
Love & Other Drugs,"Gyllenhaal, Jake","Hathaway, Anne"
Love and Other Impossible Pursuits,"Cohen, Scott","Portman, Natalie"
Love Happens,"Eckhart, Aaron","Aniston, Jennifer"
Love Wrecked,"Carmack, Chris","Bynes, Amanda"
Lovelace,"Sarsgaard, Peter","Seyfried, Amanda"
Lucky You,"Bana, Eric","Somerville, Phyllis"
MacGruber,"Forte, Will","Wiig, Kristen"
Machine Gun Preacher,"Butler, Gerard","Monaghan, Michelle"
Mad Max: Fury Road,"Hardy, Tom","Theron, Charlize"
Mad Money,"Danson, Ted","Keaton, Diane"
Made of Honor,"Dempsey, Patrick","Monaghan, Michelle"
Maggie,"Schwarzenegger, Arnold","Breslin, Abigail"
Maid in Manhattan,"Fiennes, Ralph","Lopez, Jennifer"
Mamma Mia!,"Skarsgård, Stellan","Seyfried, Amanda"
Man of Steel,"Cavill, Henry","Adams, Amy"
Management,"Zahn, Steve","Aniston, Jennifer"
Marie Antoinette,"Schwartzman, Jason","Dunst, Kirsten"
Marley & Me,"Wilson, Owen","Aniston, Jennifer"
Marmaduke,"Wilson, Owen","Stone, Emma"
Max Payne,"Wahlberg, Mark","Kunis, Mila"
May,"Sisto, Jeremy","Bettis, Angela"
Me and You and Everyone We Know,"Hawkes, John","July, Miranda"
"Me, Myself & Irene","Carrey, Jim","Zellweger, Renée"
Meet Dave,"Murphy, Eddie","Banks, Elizabeth"
Meet the Spartans,"Maguire, Sean","Electra, Carmen"
Memento,"Pearce, Guy","Moss, Carrie-Anne"
"Men, Women & Children","Sandler, Adam","Garner, Jennifer"
Midnight in Paris,"Wilson, Owen","McAdams, Rachel"
Million Dollar Baby,"Eastwood, Clint","Swank, Hilary"
Minions,"Hamm, Jon","Bullock, Sandra"
Miracle,"Russell, Kurt","Clarkson, Patricia"
Mirrormask,"Barry, Jason","Leonidas, Stephanie"
Mirrors,"Sutherland, Kiefer","Patton, Paula"
Miss Congeniality,"Caine, Michael","Bullock, Sandra"
Miss Potter,"McGregor, Ewan","Zellweger, Renée"
Mission: Impossible - Ghost Protocol,"Cruise, Tom","Patton, Paula"
Monkeybone,"Fraser, Brendan","Fonda, Bridget"
Monsoon Wedding,"Shah, Naseeruddin","Dubey, Lillete"
Monster's Ball,"Thornton, Billy Bob","Berry, Halle"
Morning Glory,"Bean, Noah","McAdams, Rachel"
Mortdecai,"Depp, Johnny","Paltrow, Gwyneth"
Moulin Rouge!,"McGregor, Ewan","Kidman, Nicole"
Mr 3000,"Mac, Bernie","Bassett, Angela"
Mr. & Mrs. Smith,"Pitt, Brad","Jolie, Angelina"
Mr. Brooks,"Costner, Kevin","Moore, Demi"
Mr. Deeds,"Sandler, Adam","Ryder, Winona"
Mr. Magorium's Wonder Emporium,"Ludzik, Ted","Portman, Natalie"
Mr. Popper's Penguins,"Carrey, Jim","Gugino, Carla"
Mrs Henderson Presents,"Hoskins, Bob","Dench, Judi"
Much Ado About Nothing,"Denisof, Alexis","Acker, Amy"
Mud,"McConaughey, Matthew","Witherspoon, Reese"
Murder by Numbers,"Chaplin, Ben","Bullock, Sandra"
Must Love Dogs,"Cusack, John","Lane, Diane"
My Best Friend's Girl,"Cook, Dane","Hudson, Kate"
My Big Fat Greek Wedding,"Constantine, Michael","Vardalos, Nia"
My Bloody Valentine,"Ackles, Jensen","King, Jaime"
My Life in Ruins,"Dreyfuss, Richard","Vardalos, Nia"
My Sassy Girl,"Bradford, Jesse","Cuthbert, Elisha"
My Super Ex-Girlfriend,"Wilson, Luke","Thurman, Uma"
My Week with Marilyn,"Redmayne, Eddie","Williams, Michelle"
Nacho Libre,"Black, Jack","de la Reguera, Ana"
Nanny McPhee,"Firth, Colin","Thompson, Emma"
National Treasure,"Cage, Nicolas","Kruger, Diane"
Neighbors,"Rogen, Seth","Byrne, Rose"
Never Back Down,"Faris, Sean","Heard, Amber"
Never Let Me Go,"Garfield, Andrew","Mulligan, Carey"
New in Town,"Connick Jr., Harry","Zellweger, Renée"
New Year's Eve,"Efron, Zac","Pfeiffer, Michelle"
Next,"Cage, Nicolas","Moore, Julianne"
Nick and Norah's Infinite Playlist,"Cera, Michael","Dennings, Kat"
Night at the Museum,"Stiller, Ben","Gugino, Carla"
Night at the Museum: Battle of the Smithsonian,"Stiller, Ben","Adams, Amy"
Nights in Rodanthe,"Gere, Richard","Lane, Diane"
No Good Deed,"Elba, Idris","Henson, Taraji P."
No One Lives,"Evans, Luke","Clemens, Adelaide"
No Reservations,"Eckhart, Aaron","Zeta-Jones, Catherine"
No Strings Attached,"Kutcher, Ashton","Portman, Natalie"
Noah,"Crowe, Russell","Connelly, Jennifer"
Non-Stop,"Neeson, Liam","Moore, Julianne"
Norbit,"Murphy, Eddie","Newton, Thandie"
Not Another Teen Movie,"Evans, Chris","Leigh, Chyler"
Nothing But the Truth,"Dillon, Matt","Beckinsale, Kate"
Nurse Betty,"Freeman, Morgan","Zellweger, Renée"
Nutty Professor II: The Klumps,"Murphy, Eddie","Jackson, Janet"
Obsessed,"Elba, Idris","Knowles, Beyoncé"
Ocean's Twelve,"Pitt, Brad","Zeta-Jones, Catherine"
Oculus,"Thwaites, Brenton","Gillan, Karen"
Oldboy,"Brolin, Josh","Olsen, Elizabeth"
Once Upon a Time in Mexico,"Banderas, Antonio","Hayek, Salma"
Ondine,"Farrell, Colin","Bachleda, Alicja"
One Day,"Sturgess, Jim","Hathaway, Anne"
One for the Money,"O'Mara, Jason","Heigl, Katherine"
One Hour Photo,"Williams, Robin","Nielsen, Connie"
One Missed Call,"Burns, Edward","Sossamon, Shannyn"
Only God Forgives,"Gosling, Ryan","Scott Thomas, Kristin"
Open Water,"Travis, Daniel","Ryan, Blanchard"
Ordinary Decent Criminal,"Spacey, Kevin","Fiorentino, Linda"
Original Sin,"Banderas, Antonio","Jolie, Angelina"
Orphan,"Sarsgaard, Peter","Farmiga, Vera"
Out Cold,"Alexander, Flex","Cook, A.J."
Out of Time,"Washington, Denzel","Mendes, Eva"
Outlander,"Caviezel, Jim","Myles, Sophia"
Over Her Dead Body,"Rudd, Paul","Longoria, Eva"
Oz the Great and Powerful,"Franco, James","Kunis, Mila"
P.S. I Love You,"Butler, Gerard","Swank, Hilary"
P2,"Bentley, Wes","Nichols, Rachel"
Paparazzi,"Hauser, Cole","Tunney, Robin"
Paper Man,"Daniels, Jeff","Kudrow, Lisa"
Paper Towns,"Wolff, Nat","Delevingne, Cara"
Parental Guidance,"Crystal, Billy","Midler, Bette"
Parker,"Statham, Jason","Lopez, Jennifer"
Parkland,"Barr, Matt","Harden, Marcia Gay"
Passengers,"Wilson, Patrick","Hathaway, Anne"
Pathfinder,"Urban, Karl","Bloodgood, Moon"
Paul Blart: Mall Cop 2,"James, Kevin","Rodriguez, Raini"
Pay It Forward,"Spacey, Kevin","Hunt, Helen"
Penelope,"Grant, Richard E.","O'Hara, Catherine"
People Like Us,"Pine, Chris","Banks, Elizabeth"
Percy Jackson: Sea of Monsters,"Lerman, Logan","Daddario, Alexandra"
Perfect Stranger,"Willis, Bruce","Berry, Halle"
Philomena,"Coogan, Steve","Dench, Judi"
Pieces of April,"Luke, Derek","Holmes, Katie"
Piranha 3DD,"Bush, Matt","Panabaker, Danielle"
Pirates of the Caribbean: On Stranger Tides,"Depp, Johnny","Cruz, Penélope"
Pitch Black,"Diesel, Vin","Mitchell, Radha"
Pitch Perfect,"Astin, Skylar","Kendrick, Anna"
Planet 51,"Cleese, John","Biel, Jessica"
Planet Terror,"Rodríguez, Freddy","McGowan, Rose"
Playing for Keeps,"Butler, Gerard","Biel, Jessica"
Playing It Cool,"Evans, Chris","Monaghan, Michelle"
Pollock,"Harris, Ed","Harden, Marcia Gay"
Poltergeist,"Rockwell, Sam","DeWitt, Rosemarie"
Pompeii,"Harington, Kit","Moss, Carrie-Anne"
Possession,"Eckhart, Aaron","Paltrow, Gwyneth"
Post Grad,"Gilford, Zach","Bledel, Alexis"
Powder Blue,"Redmayne, Eddie","Biel, Jessica"
Premium Rush,"Gordon-Levitt, Joseph","Ramirez, Dania"
Premonition,"McMahon, Julian","Bullock, Sandra"
Primeval,"Purcell, Dominic","Langton, Brooke"
Prince of Persia: The Sands of Time,"Gyllenhaal, Jake","Arterton, Gemma"
Prom,"McDonell, Thomas","Teegarden, Aimee"
Prom Night,"Porter, Scott","Snow, Brittany"
Prometheus,"Fassbender, Michael","Rapace, Noomi"
Proof,"Hopkins, Anthony","Paltrow, Gwyneth"
Proof of Life,"Crowe, Russell","Ryan, Meg"
Prozac Nation,"Biggs, Jason","Ricci, Christina"
Pulse,"Somerhalder, Ian","Bell, Kristen"
Puss in Boots,"Banderas, Antonio","Hayek, Salma"
Quantum of Solace,"Craig, Daniel","Kurylenko, Olga"
Quarantine,"Harris, Steve","Carpenter, Jennifer"
Quarantine 2: Terminal,"Cooke, Josh","Mason, Mercedes"
Queen of the Damned,"Townsend, Stuart",Aaliyah
Quills,"Rush, Geoffrey","Winslet, Kate"
Rabbit Hole,"Eckhart, Aaron","Kidman, Nicole"
Raising Helen,"Corbett, John","Hudson, Kate"
Rambo,"Stallone, Sylvester","Benz, Julie"
Rango,"Depp, Johnny","Fisher, Isla"
Rat Race,"Meyer, Breckin","Bergere, Jenica"
Ray,"Foxx, Jamie","Washington, Kerry"
Rebound,"Lawrence, Martin","Robinson, Wendy Raquel"
RED,"Willis, Bruce","Parker, Mary-Louise"
Red Dog,"Lucas, Josh","Taylor, Rachael"
Red Eye,"Murphy, Cillian","McAdams, Rachel"
Red Lights,"Murphy, Cillian","Weaver, Sigourney"
Red Planet,"Kilmer, Val","Moss, Carrie-Anne"
Red Riding Hood,"Oldman, Gary","Seyfried, Amanda"
Rendition,"Gyllenhaal, Jake","Witherspoon, Reese"
Repo! The Genetic Opera,"Sorvino, Paul","PenaVega, Alexa"
Requiem for a Dream,"Leto, Jared","Burstyn, Ellen"
Resident Evil: Extinction,"Fehr, Oded","Jovovich, Milla"
Restless,"Hopper, Henry","Wasikowska, Mia"
Return to Me,"Duchovny, David","Driver, Minnie"
Revolutionary Road,"DiCaprio, Leonardo","Winslet, Kate"
Riding in Cars with Boys,"Zahn, Steve","Barrymore, Drew"
Right at Your Door,"Cochrane, Rory","McCormack, Mary"
Robin Hood,"Crowe, Russell","Blanchett, Cate"
Rock Star,"Wahlberg, Mark","Aniston, Jennifer"
Rocket Science,"D'Agosto, Nicholas","Kendrick, Anna"
Rogue,"Vartan, Michael","Mitchell, Radha"
Romeo Must Die,"Li, Jet",Aaliyah
Ruby Sparks,"Dano, Paul","Kazan, Zoe"
Rumor Has It...,"Costner, Kevin","Aniston, Jennifer"
Run Fatboy Run,"Pegg, Simon","Newton, Thandie"
Running with Scissors,"Cox, Brian","Bening, Annette"
RV,"Williams, Robin","Hines, Cheryl"
Salt,"Schreiber, Liev","Jolie, Angelina"
San Andreas,"Johnson, Dwayne","Gugino, Carla"
Savages,"Kitsch, Taylor","Lively, Blake"
Save the Last Dance,"Thomas, Sean Patrick","Stiles, Julia"
Saving Mr. Banks,"Hanks, Tom","Thompson, Emma"
Saw II,"Bell, Tobin","Smith, Shawnee"
Saw III,"Bell, Tobin","Smith, Shawnee"
Say It Isn't So,"Klein, Chris","Graham, Heather"
Scary Movie,"Sheridan, Dave","Electra, Carmen"
Scary Movie 5,"Rex, Simon","Tisdale, Ashley"
Scooby-Doo,"Prinze Jr., Freddie","Gellar, Sarah Michelle"
Scooby-Doo 2: Monsters Unleashed,"Prinze Jr., Freddie","Gellar, Sarah Michelle"
Scott Pilgrim vs. the World,"Cera, Michael","Pill, Alison"
Scream 3,"Schreiber, Liev","Toussaint, Beth"
Scream 4,"Jackson, Roger","Hale, Lucy"
"Se, jie","Leung, Tony Chiu Wai","Tang, Wei"
Secretariat,"Malkovich, John","Lane, Diane"
Secretary,"Spader, James","Gyllenhaal, Maggie"
See No Evil,"Jacobs, Glenn","Vidal, Christina"
Seed of Chucky,"Dourif, Brad","Tilly, Jennifer"
Seeking Justice,"Cage, Nicolas","Jones, January"
Self/less,"Reynolds, Ryan","Martinez, Natalie"
Serena,"Cooper, Bradley","Lawrence, Jennifer"
Serendipity,"Cusack, John","Beckinsale, Kate"
Serenity,"Fillion, Nathan","Torres, Gina"
Serving Sara,"Perry, Matthew","Hurley, Elizabeth"
Seven Pounds,"Smith, Will","Dawson, Rosario"
Sex Drive,"Zuckerman, Josh","Crew, Amanda"
Sex Tape,"Segel, Jason","Diaz, Cameron"
Shaft,"Jackson, Samuel L.","Williams, Vanessa"
Shall We Dance,"Gere, Richard","Lopez, Jennifer"
Shallow Hal,"Black, Jack","Paltrow, Gwyneth"
Shark Night 3D,"Milligan, Dustin","Paxton, Sara"
Shaun of the Dead,"Pegg, Simon","Ashfield, Kate"
She's Out of My League,"Baruchel, Jay","Eve, Alice"
She's the Man,"Tatum, Channing","Bynes, Amanda"
Shopgirl,"Martin, Steve","Danes, Claire"
Short Term 12,"Gallagher Jr., John","Larson, Brie"
Showtime,"De Niro, Robert","Harris, Rachael"
Shutter,"Jackson, Joshua","Taylor, Rachael"
Silent House,"Trese, Adam","Olsen, Elizabeth"
Silver Linings Playbook,"Cooper, Bradley","Lawrence, Jennifer"
Sin City: A Dame to Kill For,"Rourke, Mickey","Alba, Jessica"
Sinbad: Legend of the Seven Seas,"Pitt, Brad","Zeta-Jones, Catherine"
Sinister,"Hawke, Ethan","Rylance, Juliet"
Sky Captain and the World of Tomorrow,"Law, Jude","Paltrow, Gwyneth"
Skyfall,"Craig, Daniel","Dench, Judi"
Skyline,"Balfour, Eric","Thompson, Scottie"
Smart People,"Quaid, Dennis","Parker, Sarah Jessica"
Smashed,"Paul, Aaron","Winstead, Mary Elizabeth"
Smiley Face,"Browne, Roscoe Lee","Faris, Anna"
Snakes on a Plane,"Jackson, Samuel L.","Margulies, Julianna"
Snow Angels,"Rockwell, Sam","Beckinsale, Kate"
Snow White and the Huntsman,"Hemsworth, Chris","Stewart, Kristen"
So Undercover,"Piven, Jeremy","Cyrus, Miley"
Solaris,"Clooney, George","McElhone, Natascha"
Solitary Man,"Douglas, Michael","Sarandon, Susan"
Someone Like You...,"Kinnear, Greg","Judd, Ashley"
Something's Gotta Give,"Nicholson, Jack","Keaton, Diane"
Source Code,"Gyllenhaal, Jake","Monaghan, Michelle"
Southpaw,"Gyllenhaal, Jake","McAdams, Rachel"
Spanglish,"Sandler, Adam","Leoni, Téa"
Sparks,"Williamson, Chase","Bell, Ashley"
Spartan,"Luke, Derek","Texada, Tia"
Spider-Man 2,"Maguire, Tobey","Dunst, Kirsten"
Spider-Man 3,"Maguire, Tobey","Dunst, Kirsten"
Splice,"Brody, Adrien","Polley, Sarah"
Splinter,"Baker, Charles","Wagner, Jill"
Spread,"Kutcher, Ashton","Heche, Anne"
Spring Breakers,"Franco, James","Gomez, Selena"
Spy Kids,"Banderas, Antonio","Gugino, Carla"
Spy Kids 2: Island of Lost Dreams,"Banderas, Antonio","Gugino, Carla"
Spy Kids 3-D: Game Over,"Banderas, Antonio","Gugino, Carla"
Spy Kids: All the Time in the World in 4D,"McHale, Joel","Alba, Jessica"
St. Vincent,"Murray, Bill","McCarthy, Melissa"
Star Wars: Episode II - Attack of the Clones,"McGregor, Ewan","Portman, Natalie"
Star Wars: Episode III - Revenge of the Sith,"McGregor, Ewan","Portman, Natalie"
Star Wars: The Clone Wars,"Lanter, Matt","Eckstein, Ashley"
Starship Troopers 3: Marauder,"Van Dien, Casper","Blalock, Jolene"
Stay Alive,"Foster, Jon","Armstrong, Samaire"
Stealth,"Lucas, Josh","Biel, Jessica"
Step Up,"Tatum, Channing","Dewan Tatum, Jenna"
Step Up 2: The Streets,"Hoffman, Robert","Evigan, Briana"
Step Up All In,"Guzman, Ryan","Evigan, Briana"
Step Up Revolution,"Guzman, Ryan","Coleman, Cleopatra"
Stick It,"Bridges, Jeff","Peregrym, Missy"
Stomp the Yard,"Short, Columbus","Good, Meagan"
Storytelling,"Fitzpatrick, Leo","Blair, Selma"
Straw Dogs,"Marsden, James","Bosworth, Kate"
Street Fighter: The Legend of Chun-Li,"Klein, Chris","Kreuk, Kristin"
Struck by Lightning,"Colfer, Chris","Wilson, Rebel"
Stuck in Love,"Kinnear, Greg","Connelly, Jennifer"
Summer Catch,"Prinze Jr., Freddie","Biel, Jessica"
Super,"Wilson, Rainn","Page, Ellen"
Superhero Movie,"Bell, Drake","Paxton, Sara"
Superman Returns,"Routh, Brandon","Bosworth, Kate"
Supernova,"Spader, James","Bassett, Angela"
Surrogates,"Willis, Bruce","Mitchell, Radha"
Surveillance,"Dillon, Hugh","Aaron, Caroline"
Sweeney Todd: The Demon Barber of Fleet Street,"Depp, Johnny","Bonham Carter, Helena"
Sweet Home Alabama,"Lucas, Josh","Witherspoon, Reese"
Sweet November,"Reeves, Keanu","Theron, Charlize"
Swimfan,"Bradford, Jesse","Christensen, Erika"
"Synecdoche, New York","Hoffman, Philip Seymour","Keener, Catherine"
Take Me Home Tonight,"Grace, Topher","Faris, Anna"
Take Shelter,"Shannon, Michael","Chastain, Jessica"
Taking Lives,"Hawke, Ethan","Jolie, Angelina"
Tangled,"Levi, Zachary","Moore, Mandy"
Taxi,"Fallon, Jimmy","Latifah, Queen"
Tears of the Sun,"Willis, Bruce","Bellucci, Monica"
Ted,"Wahlberg, Mark","Kunis, Mila"
Teenage Mutant Ninja Turtles,"Arnett, Will","Fox, Megan"
Teeth,"Hensley, John","Weixler, Jess"
Tekken,"Foo, Jon","Overton, Kelly"
The 40 Year Old Virgin,"Carell, Steve","Keener, Catherine"
The Accidental Husband,"Morgan, Jeffrey Dean","Thurman, Uma"
The Adjustment Bureau,"Damon, Matt","Blunt, Emily"
The Adventures of Rocky & Bullwinkle,"Alexander, Jason","Russo, Rene"
The Age of Adaline,"Huisman, Michiel","Lively, Blake"
The Air I Breathe,"Bacon, Kevin","Delpy, Julie"
The Amazing Spider-Man,"Garfield, Andrew","Stone, Emma"
The Amazing Spider-Man 2,"Garfield, Andrew","Stone, Emma"
The American,"Clooney, George","Björklund, Irina"
The Amityville Horror,"Reynolds, Ryan","George, Melissa"
The Angriest Man in Brooklyn,"Williams, Robin","Kunis, Mila"
The Animal,"Schneider, Rob","Haskell, Colleen"
The Ant Bully,"Cage, Nicolas","Roberts, Julia"
The Apparition,"Stan, Sebastian","Greene, Ashley"
The Art of Getting By,"Highmore, Freddie","Roberts, Emma"
The Art of War,"Snipes, Wesley","Archer, Anne"
The Assassination of Jesse James by the Coward Robert Ford,"Pitt, Brad","Parker, Mary-Louise"
The Assassination of Richard Nixon,"Penn, Sean","Watts, Naomi"
The Astronaut Farmer,"Thornton, Billy Bob","Madsen, Virginia"
The Aviator,"DiCaprio, Leonardo","Blanchett, Cate"
The Back-up Plan,"O'Loughlin, Alex","Lopez, Jennifer"
The Bad Lieutenant: Port of Call - New Orleans,"Cage, Nicolas","Mendes, Eva"
The Bank Job,"Statham, Jason","Burrows, Saffron"
The Beaver,"Gibson, Mel","Jones, Cherry"
The Best Exotic Marigold Hotel,"Wilkinson, Tom","Dench, Judi"
The Best Man Holiday,"Chestnut, Morris","Calhoun, Monica"
The Best of Me,"Marsden, James","Monaghan, Michelle"
The Big Wedding,"De Niro, Robert","Heigl, Katherine"
The Big White,"Williams, Robin","Hunter, Holly"
The Black Dahlia,"Hartnett, Josh","Johansson, Scarlett"
The Blind Side,"McGraw, Tim","Bullock, Sandra"
The Book of Life,"Luna, Diego","Saldana, Zoe"
The Bounty Hunter,"Butler, Gerard","Aniston, Jennifer"
The Bourne Identity,"Damon, Matt","Potente, Franka"
The Bourne Supremacy,"Damon, Matt","Potente, Franka"
The Bourne Ultimatum,"Damon, Matt","Stiles, Julia"
The Box,"Marsden, James","Diaz, Cameron"
The Boy Next Door,"Guzman, Ryan","Lopez, Jennifer"
The Brass Teapot,"Angarano, Michael","Temple, Juno"
The Brave One,"Howard, Terrence","Foster, Jodie"
The Break-Up,"Vaughn, Vince","Aniston, Jennifer"
The Brothers Bloom,"Brody, Adrien","Weisz, Rachel"
The Brown Bunny,"Gallo, Vincent","Sevigny, Chloë"
The Burning Plain,"Corbett, John","Theron, Charlize"
The Butterfly Effect,"Kutcher, Ashton","Walters, Melora"
The Butterfly Effect 2,"Lively, Eric","Durance, Erica"
The Butterfly Effect 3: Revelations,"Carmack, Chris","Miner, Rachel"
The Cabin in the Woods,"Hemsworth, Chris","Connolly, Kristen"
The Chumscrubber,"Bell, Jamie","Belle, Camilla"
The Clearing,"Redford, Robert","Mirren, Helen"
The Cold Light of Day,"Cavill, Henry","Echegui, Verónica"
The Collection,"Stewart, Josh","Fitzpatrick, Emma"
The Conjuring,"Wilson, Patrick","Farmiga, Vera"
The Conspirator,"McAvoy, James","Wright, Robin"
The Constant Gardener,"Fiennes, Ralph","Weisz, Rachel"
The Contender,"Oldman, Gary","Allen, Joan"
The Counselor,"Fassbender, Michael","Cruz, Penélope"
The Covenant,"Strait, Steven","Ramsey, Laura"
The Crazies,"Olyphant, Timothy","Mitchell, Radha"
The Croods,"Cage, Nicolas","Stone, Emma"
The Curious Case of Benjamin Button,"Pitt, Brad","Ormond, Julia"
The Da Vinci Code,"Hanks, Tom","Tautou, Audrey"
The Darkest Hour,"Hirsch, Emile","Thirlby, Olivia"
The Day the Earth Stood Still,"Reeves, Keanu","Connelly, Jennifer"
The Deaths of Ian Stone,"Vogel, Mike","Murray, Jaime"
The Debt,"Wilkinson, Tom","Mirren, Helen"
The Deep Blue Sea,"Coy, Jolyon","Mitchell, Ann"
The Descendants,"Clooney, George","Woodley, Shailene"
The Divide,"Biehn, Michael","German, Lauren"
The Drop,"Hardy, Tom","Rapace, Noomi"
The Duchess,"Fiennes, Ralph","Knightley, Keira"
The DUFF,"Amell, Robbie","Whitman, Mae"
The East,"Skarsgård, Alexander","Marling, Brit"
The Exorcism of Emily Rose,"Wilkinson, Tom","Linney, Laura"
The Eye,"Nivola, Alessandro","Alba, Jessica"
The Family,"De Niro, Robert","Pfeiffer, Michelle"
The Family Man,"Cage, Nicolas","Leoni, Téa"
The Fault in Our Stars,"Elgort, Ansel","Woodley, Shailene"
The Final Cut,"Williams, Robin","Sorvino, Mira"
The Final Destination,"Campo, Bobby","VanSanten, Shantel"
The First Time,"O'Brien, Dylan","Robertson, Britt"
The Five-Year Engagement,"Segel, Jason","Blunt, Emily"
The Fog,"Welling, Tom","Grace, Maggie"
The Fountain,"Jackman, Hugh","Weisz, Rachel"
The Fourth Kind,"Patton, Will","Jovovich, Milla"
The Frozen Ground,"Cage, Nicolas","Hudgens, Vanessa"
The Gift,"Ribisi, Giovanni","Blanchett, Cate"
The Gift,"Bateman, Jason","Hall, Rebecca"
The Girl Next Door,"Hirsch, Emile","Cuthbert, Elisha"
The Girl with the Dragon Tattoo,"Craig, Daniel","Mara, Rooney"
The Girlfriend Experience,"Santos, Chris","Grey, Sasha"
The Giver,"Bridges, Jeff","Streep, Meryl"
The Golden Compass,"Craig, Daniel","Kidman, Nicole"
The Good German,"Clooney, George","Blanchett, Cate"
The Good Lie,"Oceng, Arnold","Witherspoon, Reese"
The Good Shepherd,"Damon, Matt","Jolie, Angelina"
The Grudge,"Behr, Jason","Gellar, Sarah Michelle"
The Guest,"Stevens, Dan","Monroe, Maika"
The Guilt Trip,"Rogen, Seth","Streisand, Barbra"
The Gunman,"Penn, Sean","Trinca, Jasmine"
The Happening,"Wahlberg, Mark","Deschanel, Zooey"
The Haunting in Connecticut,"Gallner, Kyle","Madsen, Virginia"
The Heartbreak Kid,"Stiller, Ben","Akerman, Malin"
